nohup: ignoring input

  0%|          | 0/459 [00:00<?, ?it/s]
Epoch:0:   0%|          | 0/459 [00:06<?, ?it/s]
Epoch:0:   0%|          | 0/459 [00:18<?, ?it/s, Cascade=0, CurrLoss=7.5e+8, MeanLoss=0]
Epoch:0:   0%|          | 0/459 [00:30<?, ?it/s, Cascade=1, CurrLoss=4.77e+10, MeanLoss=3.27e+6]
Epoch:0:   0%|          | 1/459 [00:30<3:51:21, 30.31s/it, Cascade=1, CurrLoss=4.77e+10, MeanLoss=3.27e+6]
Epoch:0:   0%|          | 1/459 [00:34<3:51:21, 30.31s/it, Cascade=1, CurrLoss=4.77e+10, MeanLoss=3.27e+6]
Epoch:0:   0%|          | 1/459 [00:46<3:51:21, 30.31s/it, Cascade=0, CurrLoss=8.31e+8, MeanLoss=2.11e+8] 
Epoch:0:   0%|          | 1/459 [00:57<3:51:21, 30.31s/it, Cascade=1, CurrLoss=6.63e+10, MeanLoss=2.15e+8]
Epoch:0:   0%|          | 2/459 [00:57<3:38:42, 28.71s/it, Cascade=1, CurrLoss=6.63e+10, MeanLoss=2.15e+8]
Epoch:0:   0%|          | 2/459 [01:01<3:38:42, 28.71s/it, Cascade=1, CurrLoss=6.63e+10, MeanLoss=2.15e+8]
Epoch:0:   0%|          | 2/459 [01:13<3:38:42, 28.71s/it, Cascade=0, CurrLoss=6.94e+8, MeanLoss=5.04e+8] 
Epoch:0:   0%|          | 2/459 [01:25<3:38:42, 28.71s/it, Cascade=1, CurrLoss=4.77e+10, MeanLoss=5.07e+8]
Epoch:0:   1%|          | 3/459 [01:25<3:34:11, 28.18s/it, Cascade=1, CurrLoss=4.77e+10, MeanLoss=5.07e+8]
Epoch:0:   1%|          | 3/459 [01:29<3:34:11, 28.18s/it, Cascade=1, CurrLoss=4.77e+10, MeanLoss=5.07e+8]
Epoch:0:   1%|          | 3/459 [01:41<3:34:11, 28.18s/it, Cascade=0, CurrLoss=7.79e+8, MeanLoss=7.14e+8] 
Epoch:0:   1%|          | 3/459 [01:53<3:34:11, 28.18s/it, Cascade=1, CurrLoss=5.99e+10, MeanLoss=7.18e+8]
Epoch:0:   1%|          | 4/459 [01:53<3:31:50, 27.93s/it, Cascade=1, CurrLoss=5.99e+10, MeanLoss=7.18e+8]
Epoch:0:   1%|          | 4/459 [01:57<3:31:50, 27.93s/it, Cascade=1, CurrLoss=5.99e+10, MeanLoss=7.18e+8]
